*     Water balance PADDY used
*     Crop and soil nitrogen balance used
*     ****************************************************************
*     WARNING: Combined water and nitrogen limitations not validated!!
*     ****************************************************************
*     ORYZA model runs to simulate an experiment
*     Rice crop is direct-seeded
*     SETPMD: Penman evapotranspiration
*============================================================================
*
* ORYYZA200 driver info:
*     Year: 2015, day: 300, System start
*     Year: 2016, day:  59, System end
*----------------------------------------------------------------------------
* OUTPUT FROM RERUN SET:    1
* OUTPUT TABLE FORMAT  : SPREADSHEET OUTPUT
* Simulation results
* Irrigation at minimum water depth; SWITIR=2
* Irrigation at min. moist. pressure; SWITIR=3
* Rainfed; no irrigation; SWITIR=0
* PADDY: Puddled soil (SWITPD=1)
* PADDY: Groundwater below profile (SWITGW=0)
* PADDY: Fixed percolation (SWITVP=-1)
 
TIME	DVS	TMIN	TMAX	LAI	WL0	IR	N2O	NH3	LEACHED	CO2RELEASED	SOC	SON	DOY	CROPSTA	RAIN
 
   300.000    	  0.0000    	  32.000    	  36.000    	 1.65000E-02	  10.000    	  50.000    	 0.28433    	  1.3065    	  0.0000    	  12.039    	 1.42160E+05	  6739.4    	  300.00    	  1.0000    	  4.7000    
   301.000    	 9.62134E-03	  32.000    	  37.000    	 1.84360E-02	  41.625    	  0.0000    	 0.28687    	  1.5575    	  0.0000    	  12.675    	 1.42148E+05	  6738.3    	  301.00    	  4.0000    	  15.500    
   302.000    	 1.86413E-02	  32.000    	  37.000    	 2.04640E-02	  33.913    	  0.0000    	 0.26344    	  1.4785    	  0.0000    	  12.773    	 1.42135E+05	  6737.3    	  302.00    	  4.0000    	  0.0000    
   303.000    	 2.76613E-02	  32.000    	  37.000    	 2.27150E-02	  11.479    	  50.000    	 0.24699    	  1.5022    	  0.0000    	  13.171    	 1.42122E+05	  6736.2    	  303.00    	  4.0000    	  0.0000    
   304.000    	 3.66814E-02	  32.000    	  37.000    	 2.52137E-02	  41.607    	  0.0000    	 0.21892    	  1.4312    	  0.0000    	  12.949    	 1.42109E+05	  6735.1    	  304.00    	  4.0000    	  4.6000    
   305.000    	 4.57014E-02	  33.000    	  36.000    	 2.79872E-02	  23.300    	  0.0000    	 0.20093    	  1.3634    	  0.0000    	  13.061    	 1.42096E+05	  6734.0    	  305.00    	  4.0000    	  58.000    
   306.000    	 5.47214E-02	  32.000    	  36.000    	 3.10657E-02	  61.137    	  0.0000    	 0.18461    	  1.3599    	  0.0000    	  13.218    	 1.42083E+05	  6732.9    	  306.00    	  4.0000    	  15.000    
   307.000    	 6.43427E-02	  33.000    	  37.000    	 3.47108E-02	  56.390    	  0.0000    	 0.17089    	  2.3898    	  0.0000    	  13.479    	 1.42069E+05	  6731.8    	  307.00    	  4.0000    	  4.8000    
   308.000    	 7.27614E-02	  32.000    	  36.000    	 3.82744E-02	  41.239    	  0.0000    	 0.15178    	  2.4617    	  0.0000    	  13.147    	 1.42056E+05	  6730.7    	  308.00    	  4.0000    	  47.100    
   309.000    	 8.23827E-02	  32.000    	  36.000    	 4.27653E-02	  71.061    	  0.0000    	 0.13907    	  2.3999    	  0.0000    	  13.218    	 1.42043E+05	  6729.6    	  309.00    	  4.0000    	  21.600    
   310.000    	 9.20040E-02	  32.000    	  35.000    	 4.77831E-02	  73.067    	  0.0000    	 0.12801    	  2.3740    	  0.0000    	  13.323    	 1.42029E+05	  6728.5    	  310.00    	  4.0000    	  105.00    
   311.000    	 0.10223    	  32.000    	  36.000    	 5.37401E-02	  85.000    	  0.0000    	 0.11756    	  2.2789    	  0.0000    	  13.397    	 1.42016E+05	  6727.4    	  311.00    	  4.0000    	  53.300    
   312.000    	 0.11185    	  32.000    	  36.000    	 6.00456E-02	  85.000    	  0.0000    	 0.10850    	  2.2225    	 2.43285E-03	  13.526    	 1.42002E+05	  6726.2    	  312.00    	  4.0000    	  24.700    
   313.000    	 0.12147    	  32.000    	  36.000    	 6.70909E-02	  85.000    	  0.0000    	 9.98771E-02	  2.1471    	 5.17942E-03	  13.602    	 1.41989E+05	  6725.1    	  313.00    	  4.0000    	  5.7000    
   314.000    	 0.13109    	  32.000    	  37.000    	 7.49629E-02	  68.752    	  0.0000    	 9.24423E-02	  2.0986    	 8.11528E-03	  13.763    	 1.41975E+05	  6724.0    	  314.00    	  4.0000    	  0.0000    
   315.000    	 0.14011    	  33.000    	  37.000    	 8.32089E-02	  46.920    	  0.0000    	 8.33648E-02	  1.9495    	 1.12250E-02	  13.407    	 1.41962E+05	  6722.8    	  315.00    	  4.0000    	 0.30000    
   316.000    	 0.14853    	  32.000    	  36.000    	 9.17517E-02	  25.228    	  0.0000    	 7.63907E-02	  1.8141    	 1.44929E-02	  13.449    	 1.41948E+05	  6721.7    	  316.00    	  4.0000    	  22.200    
   317.000    	 0.15815    	  32.000    	  36.000    	 0.10252    	  24.713    	  0.0000    	 7.13205E-02	  1.8169    	 1.79031E-02	  13.664    	 1.41935E+05	  6720.6    	  317.00    	  4.0000    	  72.200    
   318.000    	 0.16777    	  32.000    	  36.000    	 0.11455    	  75.170    	  0.0000    	 6.63425E-02	  1.7917    	 2.14403E-02	  13.825    	 1.41921E+05	  6719.4    	  318.00    	  4.0000    	  32.900    
   319.000    	 0.17739    	  32.000    	  37.000    	 0.12799    	  85.000    	  0.0000    	 6.18428E-02	  1.7694    	 2.50890E-02	  14.006    	 1.41907E+05	  6718.3    	  319.00    	  4.0000    	  21.800    
   320.000    	 0.18641    	  32.000    	  37.000    	 0.14206    	  85.000    	  0.0000    	 5.76812E-02	  1.7568    	 2.88341E-02	  14.160    	 1.41893E+05	  6717.1    	  320.00    	  4.0000    	  0.0000    
   321.000    	 0.19543    	  32.000    	  37.000    	 0.15769    	  65.633    	  0.0000    	 5.36668E-02	  1.7303    	 3.26610E-02	  14.258    	 1.41878E+05	  6715.9    	  321.00    	  4.0000    	  2.1000    
   322.000    	 0.20445    	  32.000    	  36.000    	 0.17504    	  47.823    	  0.0000    	 4.86345E-02	  1.6099    	 3.65550E-02	  13.755    	 1.41865E+05	  6714.7    	  322.00    	  4.0000    	  33.200    
   323.000    	 0.21407    	  32.000    	  37.000    	 0.19558    	  59.518    	  0.0000    	 4.17435E-02	  1.4981    	 4.05022E-02	  13.934    	 1.41851E+05	  6713.6    	  323.00    	  4.0000    	  0.0000    
   324.000    	 0.22309    	  32.000    	  37.000    	 0.21709    	  31.796    	  0.0000    	 3.76917E-02	  1.5173    	 4.44887E-02	  14.146    	 1.41836E+05	  6712.4    	  324.00    	  4.0000    	  0.0000    
   325.000    	 0.23211    	  32.000    	  37.000    	 0.24097    	  7.8689    	  0.0000    	 3.53131E-02	  3.1408    	 4.85010E-02	  14.369    	 1.41822E+05	  6711.2    	  325.00    	  4.0000    	  4.4000    
   326.000    	 0.24113    	  32.000    	  36.000    	 0.26747    	  0.0000    	  0.0000    	 6.59870E-02	  3.6081    	  0.0000    	  23.275    	 1.41799E+05	  6709.3    	  326.00    	  4.0000    	  29.600    
   327.000    	 0.25076    	  32.000    	  37.000    	 0.29835    	  4.1112    	  0.0000    	 0.11429    	  3.3925    	  2.0673    	  17.590    	 1.41781E+05	  6707.8    	  327.00    	  4.0000    	  0.0000    
   328.000    	 0.25978    	  32.000    	  36.000    	 0.33117    	  0.0000    	  0.0000    	 7.14648E-02	  2.9691    	  0.0000    	  24.893    	 1.41756E+05	  6705.7    	  328.00    	  4.0000    	  24.100    
